pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
,1977-10-18,,,,"Torrez, Mike",117397,123416,field_out,hit_into_play,,,,,,Lee Lacy bunt pops out to pitcher Mike Torrez.,W,R,R,NYY,LAD,X,1,popup,1,1,1977,,,,,,110481,113077,2,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,0.0,,0,0,,70,3,,8,4,4,8,4,8,4,8,,,,0.01,0.135,10,18
,1977-10-18,,,,"Torrez, Mike",117397,123416,,called_strike,,,,,,Lee Lacy bunt pops out to pitcher Mike Torrez.,W,R,R,NYY,LAD,S,,,1,0,1977,,,,,,110481,113077,2,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,70,2,,8,4,4,8,4,8,4,8,,,,0.0,-0.346,10,18
,1977-10-18,,,,"Torrez, Mike",117397,123416,,ball,,,,,,Lee Lacy bunt pops out to pitcher Mike Torrez.,W,R,R,NYY,LAD,B,,,0,0,1977,,,,,,110481,113077,2,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,70,1,,8,4,4,8,4,8,4,8,,,,0.0,0.293,10,18
,1977-10-18,,,,"Torrez, Mike",113077,123416,single,hit_into_play,,,,,,Vic Davalillo singles on a bunt ground ball to third baseman Graig Nettles.   Steve Garvey scores.    Dusty Baker Jr.  to 2nd.,W,L,R,NYY,LAD,X,5,ground_ball,0,0,1977,,,,,114641,,110481,2,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,0.9,,1,0,,69,1,,8,3,3,8,4,8,4,8,,,,-0.007,0.554,10,18
,1977-10-18,,,,"Torrez, Mike",119246,123416,field_out,hit_into_play,,,,,,Rick Monday flies out to right fielder Reggie Jackson.   Steve Garvey to 3rd.,W,L,R,NYY,LAD,X,9,fly_ball,2,2,1977,,,,,,114641,110481,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,0.0,,0,0,,68,7,,8,3,3,8,3,8,3,8,,,,0.009,-0.426,10,18
,1977-10-18,,,,"Torrez, Mike",119246,123416,,ball,,,,,,Rick Monday flies out to right fielder Reggie Jackson.   Steve Garvey to 3rd.,W,L,R,NYY,LAD,B,,,1,2,1977,,,,,,114641,110481,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,68,6,,8,3,3,8,3,8,3,8,,,,0.0,0.004,10,18
,1977-10-18,,,,"Torrez, Mike",119246,123416,,ball,,,,,,Rick Monday flies out to right fielder Reggie Jackson.   Steve Garvey to 3rd.,W,L,R,NYY,LAD,B,,,0,2,1977,,,,,,114641,110481,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,68,5,,8,3,3,8,3,8,3,8,,,,0.0,0.395,10,18
,1977-10-18,,,,"Torrez, Mike",119246,123416,,foul,,,,,,Rick Monday flies out to right fielder Reggie Jackson.   Steve Garvey to 3rd.,W,L,R,NYY,LAD,S,,,0,2,1977,,,,,,114641,110481,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,68,4,,8,3,3,8,3,8,3,8,,,,0.0,0.0,10,18
,1977-10-18,,,,"Torrez, Mike",119246,123416,,foul,,,,,,Rick Monday flies out to right fielder Reggie Jackson.   Steve Garvey to 3rd.,W,L,R,NYY,LAD,S,,,0,2,1977,,,,,,114641,110481,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,68,3,,8,3,3,8,3,8,3,8,,,,0.0,0.0,10,18
,1977-10-18,,,,"Torrez, Mike",119246,123416,,swinging_strike,,,,,,Rick Monday flies out to right fielder Reggie Jackson.   Steve Garvey to 3rd.,W,L,R,NYY,LAD,S,,,0,1,1977,,,,,,114641,110481,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,68,2,,8,3,3,8,3,8,3,8,,,,0.0,-0.008,10,18
,1977-10-18,,,,"Torrez, Mike",119246,123416,,swinging_strike,,,,,,Rick Monday flies out to right fielder Reggie Jackson.   Steve Garvey to 3rd.,W,L,R,NYY,LAD,S,,,0,0,1977,,,,,,114641,110481,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,68,1,,8,3,3,8,3,8,3,8,,,,0.0,-0.497,10,18
,1977-10-18,,,,"Torrez, Mike",110481,123416,single,hit_into_play,,,,,,Dusty Baker Jr.  singles on a to left fielder Lou Piniella.   Steve Garvey to 2nd.,W,R,R,NYY,LAD,X,7,,1,0,1977,,,,,,,114641,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,0.9,,1,0,,67,2,,8,3,3,8,3,8,3,8,,,,-0.007,0.196,10,18
,1977-10-18,,,,"Torrez, Mike",110481,123416,,ball,,,,,,Dusty Baker Jr.  singles on a to left fielder Lou Piniella.   Steve Garvey to 2nd.,W,R,R,NYY,LAD,B,,,0,0,1977,,,,,,,114641,1,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67724,123416,119531,112180,120927,119720,113275,120586,121253,116439,,,,,,,,,67,1,,8,3,3,8,3,8,3,8,,,,0.0,0.298,10,18
