pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
FF,2011-10-09,91.0,-1.79,5.77,"Greinke, Zack",518545,425844,,called_strike,,,,,7,Adron Chambers strikes out swinging.,L,L,R,MIL,STL,S,,,0,0,2011,-0.53,1.35,-0.64,1.72,,,,2,6,Top,,,,,518960,,111009_171252,3.98,-132.4,-7.2,-5.15,28.15,-17.81,3.21,1.63,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,,,,,,55,1,4-Seam Fastball,8,5,5,8,5,8,5,8,,,,0.0,-0.016,10,9
CU,2011-10-09,67.7,-1.61,6.13,"Greinke, Zack",444135,425844,field_out,hit_into_play,,,,,8,Ryan Theriot flies out to right fielder Corey Hart.,L,R,R,MIL,STL,X,9,fly_ball,1,1,2011,1.05,-0.89,0.19,1.74,,,,1,6,Top,174.7,113.45,,,518960,,111009_171204,1.35,-98.54,1.69,8.26,17.38,-39.46,3.09,1.47,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,0.0,,0,0,,54,3,Curveball,8,5,5,8,5,8,5,8,,,,0.014,-0.153,10,9
FF,2011-10-09,93.7,-1.32,5.85,"Greinke, Zack",444135,425844,,ball,,,,,14,Ryan Theriot flies out to right fielder Corey Hart.,L,R,R,MIL,STL,B,,,0,1,2011,-0.22,1.84,0.86,1.25,,,,1,6,Top,,,,,518960,,111009_171152,6.08,-135.9,-10.32,-1.25,31.01,-10.76,3.09,1.38,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,,,,,,54,2,4-Seam Fastball,8,5,5,8,5,8,5,8,,,,0.0,0.016,10,9
FF,2011-10-09,93.6,-1.49,5.86,"Greinke, Zack",444135,425844,,called_strike,,,,,9,Ryan Theriot flies out to right fielder Corey Hart.,L,R,R,MIL,STL,S,,,0,0,2011,-0.45,1.6,0.38,1.72,,,,1,6,Top,,,,,518960,,111009_171137,5.84,-135.93,-8.53,-4.36,30.43,-13.83,3.17,1.47,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,,,,,,54,1,4-Seam Fastball,8,5,5,8,5,8,5,8,,,,0.0,-0.023,10,9
SI,2011-10-09,91.1,-1.65,5.76,"Greinke, Zack",501896,425844,field_out,hit_into_play,,,,,8,"David Freese grounds out, shortstop Yuniesky Betancourt to first baseman Prince Fielder.",L,R,R,MIL,STL,X,6,ground_ball,3,1,2011,-1.13,1.49,-0.07,2.16,,,,0,6,Top,112.45,160.64,,,518960,,111009_171058,6.54,-132.4,-6.29,-12.71,29.78,-16.16,3.58,1.64,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,0.0,,0,0,,53,5,Sinker,8,5,5,8,5,8,5,8,,,,0.023,-0.372,10,9
CU,2011-10-09,76.6,-1.44,6.03,"Greinke, Zack",501896,425844,,ball,,,,,14,"David Freese grounds out, shortstop Yuniesky Betancourt to first baseman Prince Fielder.",L,R,R,MIL,STL,B,,,2,1,2011,0.76,-0.6,1.86,1.22,,,,0,6,Top,,,,,518960,,111009_171042,5.41,-111.54,-1.67,8.02,21.7,-39.03,3.58,1.59,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,,,,,,53,4,Curveball,8,5,5,8,5,8,5,8,,,,0.0,0.107,10,9
FF,2011-10-09,91.7,-1.38,5.94,"Greinke, Zack",501896,425844,,ball,,,,,14,"David Freese grounds out, shortstop Yuniesky Betancourt to first baseman Prince Fielder.",L,R,R,MIL,STL,B,,,1,1,2011,-0.32,1.71,0.97,2.06,,,,0,6,Top,,,,,518960,,111009_171028,6.69,-133.17,-7.8,-2.55,25.33,-12.93,3.58,1.59,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,,,,,,53,3,4-Seam Fastball,8,5,5,8,5,8,5,8,,,,0.0,0.049,10,9
SI,2011-10-09,91.0,-1.76,5.89,"Greinke, Zack",501896,425844,,ball,,,,,11,"David Freese grounds out, shortstop Yuniesky Betancourt to first baseman Prince Fielder.",L,R,R,MIL,STL,B,,,0,1,2011,-0.91,1.04,-1.56,2.79,,,,0,6,Top,,,,,518960,,111009_171015,2.42,-132.46,-3.95,-9.96,29.2,-21.71,3.62,1.64,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,,,,,,53,2,Sinker,8,5,5,8,5,8,5,8,,,,0.0,0.024,10,9
FF,2011-10-09,92.7,-1.37,5.98,"Greinke, Zack",501896,425844,,called_strike,,,,,6,"David Freese grounds out, shortstop Yuniesky Betancourt to first baseman Prince Fielder.",L,R,R,MIL,STL,S,,,0,0,2011,-0.71,1.34,0.64,2.73,,,,0,6,Top,,,,,518960,,111009_171002,6.79,-134.85,-5.38,-7.67,30.14,-17.47,3.5,1.43,,,,,,,317055,425844,518960,425902,430001,150020,435358,460075,460576,430611,50,,,,,,,,53,1,4-Seam Fastball,8,5,5,8,5,8,5,8,,,,0.0,-0.033,10,9
FF,2011-10-09,92.0,-2.26,5.36,"Dotel, Octavio",430611,136734,field_out,hit_into_play,,,,,11,Corey Hart flies out to center fielder Jon Jay.,L,R,R,MIL,STL,X,8,fly_ball,1,1,2011,-0.35,1.19,-0.86,2.63,,518960,,2,5,Bot,119.48,54.22,,,425877,,111009_170649,4.28,-134.01,-3.62,-2.92,25.95,-19.36,3.5,1.68,,,,,,,317055,136734,425877,405395,444135,501896,279577,407812,445055,204020,50,,,0.0,,0,0,,52,3,4-Seam Fastball,8,5,8,5,5,8,8,5,,,,-0.014,-0.286,10,9
