pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,month,day
FF,2024-07-01,94.8,-1.29,6.31,"Brown, Hunter",666182,686613,,ball,,,,,11,Bo Bichette lines out to third baseman Alex Bregman.,R,R,R,TOR,HOU,B,,,0,0,2024,-0.22,1.41,-0.28,5.66,,,,0,3,Bot,,,,,673237,,,3.129819289749057,-138.10831698240565,0.8500103009381067,-3.481200260883186,31.69951457688986,-14.634982872369786,3.8,1.75,,,,95.3,2102,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.91,,,,,,,,19,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,203,0.0,0.032,,,7,1
CU,2024-07-01,79.8,-1.44,5.95,"Rodríguez, Yariel",676801,684320,strikeout,swinging_strike,,,,,6,Chas McCormick strikes out swinging.,R,R,R,TOR,HOU,S,2,,1,2,2024,1.07,-0.78,0.39,2.2,,,,2,3,Top,,,,,672386,,,2.020595390459281,-116.1013275144268,0.0571412614161386,9.095811356236691,25.16237323307014,-39.39155389228916,3.32,1.56,,,,79.6,2747,6.5,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.99,,0.0,0.0,1,0,0,,18,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,32,0.011,-0.067,73.38916608345876,8.01134,7,1
FS,2024-07-01,90.5,-1.62,5.78,"Rodríguez, Yariel",676801,684320,,ball,,,,,14,Chas McCormick strikes out swinging.,R,R,R,TOR,HOU,B,,,0,2,2024,-1.04,1.05,0.43,1.33,,,,2,3,Top,,,,,672386,,,7.401333112431468,-131.53359452627475,-7.525288557768157,-13.58937260256208,23.57831398539441,-18.620277497746,3.27,1.5,,,,91.8,2142,6.8,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.74,,,,,,,,18,4,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,209,0.0,0.008,,,7,1
FF,2024-07-01,96.9,-1.6,5.82,"Rodríguez, Yariel",676801,684320,,foul,,,,,2,Chas McCormick strikes out swinging.,R,R,R,TOR,HOU,S,,,0,2,2024,-0.17,1.1,-0.21,3.09,,,,2,3,Top,,,,,672386,,,4.115616317994181,-141.192108885221,-4.327236458482963,-3.1345852281497613,30.253434299160503,-16.703365387339076,3.32,1.56,260,79.6,36,97.8,2435,6.6,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.9,,,,,,,,18,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206,0.0,0.0,65.50239415309295,6.42269,7,1
SL,2024-07-01,84.5,-1.53,5.82,"Rodríguez, Yariel",676801,684320,,foul,,,,,9,Chas McCormick strikes out swinging.,R,R,R,TOR,HOU,S,,,0,1,2024,0.76,0.19,0.33,1.59,,,,2,3,Top,,,,,672386,,,2.8135448893241075,-123.02828681758577,-3.860775294567426,7.14040535295661,24.758475675112468,-29.67136459020469,3.32,1.56,,,,84.4,2793,6.3,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,54.25,,,,,,,,18,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,69,0.0,-0.022,71.22352649476963,7.53443,7,1
SL,2024-07-01,86.0,-2.45,5.0,"Rodríguez, Yariel",676801,684320,,swinging_strike,,,,,6,Chas McCormick strikes out swinging.,R,R,R,TOR,HOU,S,,,0,0,2024,0.44,0.16,0.36,2.3,,,,2,3,Top,,,,,672386,,,5.776070894092699,-125.0920433111428,-0.4563506580472933,3.399116599905184,26.636244828319747,-30.6203100442102,3.32,1.56,,,,86.1,2786,6.5,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,54.0,,,,,,,,18,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,95,0.0,-0.014,71.38010360151725,8.24505,7,1
FF,2024-07-01,95.0,-1.73,5.77,"Rodríguez, Yariel",663550,684320,field_out,hit_into_play,,,,,4,Trey Cabbage lines out to left fielder Daulton Varsho.,R,L,R,TOR,HOU,X,7,line_drive,3,1,2024,-0.24,0.97,-0.6,2.71,,,,1,3,Top,46.75,109.49,,,672386,,,3.488521247741899,-138.35848475521806,-4.60790987842186,-3.761054463050975,28.523624138326134,-18.8725106278118,3.54,1.69,295,96.4,19,95.7,2400,6.5,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,54.02,0.377,0.439,0.0,1,0,0,4,17,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,197,0.018,-0.272,73.13274242314452,7.27718,7,1
FF,2024-07-01,93.7,-1.71,5.83,"Rodríguez, Yariel",663550,684320,,called_strike,,,,,4,Trey Cabbage lines out to left fielder Daulton Varsho.,R,L,R,TOR,HOU,S,,,3,0,2024,-0.17,1.0,-0.49,2.85,,,,1,3,Top,,,,,672386,,,3.5502897318916613,-136.4915614961984,-4.217625431261318,-2.851113835915807,29.23073814256105,-18.982094883584644,3.56,1.66,,,,94.4,2513,6.6,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.91,,,,,,,,17,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,197,0.0,-0.048,,,7,1
SI,2024-07-01,95.3,-2.02,5.69,"Rodríguez, Yariel",663550,684320,,ball,,,,,11,Trey Cabbage lines out to left fielder Daulton Varsho.,R,L,R,TOR,HOU,B,,,2,0,2024,-1.6,0.76,-2.32,2.64,,,,1,3,Top,,,,,672386,,,2.794725997598684,-138.7279235684214,-4.114490138838883,-21.22981576701808,31.058329483189517,-21.66112227179431,3.56,1.59,,,,95.8,2422,6.6,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.95,,,,,,,,17,3,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,203,0.0,0.086,,,7,1
CU,2024-07-01,80.0,-1.56,6.03,"Rodríguez, Yariel",663550,684320,,ball,,,,,11,Trey Cabbage lines out to left fielder Daulton Varsho.,R,L,R,TOR,HOU,B,,,1,0,2024,1.26,-0.56,-0.71,4.02,,,,1,3,Top,,,,,672386,,,-0.4858486353023865,-116.4620270859606,3.3849548641121574,11.50083170667381,23.67576331911415,-38.12286056994925,3.57,1.6,,,,79.7,2771,6.3,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,54.23,,,,,,,,17,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,44,0.0,0.047,,,7,1
