pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,month,day
FF,2026-09-12,96.7,2.04,6.13,"Latz, Jacob",694374,656641,,swinging_strike,,,,,2,,R,R,L,AZ,TEX,S,,,1,1,2026,0.62,1.69,-0.1123495891247964,3.148451559388557,,,,0,9,Bot,,,,,,,-7.107599875141132,-140.49198307209005,-6.064444573218326,9.875726553812996,32.570693123573605,-8.657600035905679,3.162959318,1.596259843,,,,96.6,2531,6.3,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.15,,,,,,,,75,3,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,148,-0.003,-0.061,76.5,6.8,0.1,,0.061,,-4,-4,0.018,0.018,30,27,30,27,1,3,,,,,0.76,0.62,-0.62,,15.172172152069104,-9.991735466031107,29.60183823305534,32.17769922733932,31.338531445091885,9,12
FF,2026-09-12,95.9,1.98,6.07,"Latz, Jacob",694374,656641,,foul,,,,,7,,R,R,L,AZ,TEX,S,,,1,0,2026,0.75,1.53,-0.5235631969198424,1.5162452666370132,,,,0,9,Bot,,,,,,,-8.257167176677452,-139.17279178647246,-9.656886174647,11.681245925768431,32.67511773238079,-10.221030483351978,3.162959318,1.596259843,116,52.0,26,95.8,2404,6.5,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.03,,,,,,,,75,2,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,148,-0.003,-0.055,77.5,7.8,,,0.055,88.0,-4,-4,0.021,0.021,30,27,30,27,1,3,,,,,0.97,0.75,-0.75,,21.025467763768564,-29.33176019586053,40.69173654575524,27.88821734835436,43.22183990617539,9,12
FF,2026-09-12,94.4,2.1,6.16,"Latz, Jacob",694374,656641,,ball,,,,,12,,R,R,L,AZ,TEX,B,,,0,0,2026,0.67,1.51,1.0840199066731748,4.180405964002888,,,,0,9,Bot,,,,,,,-4.146634823928926,-137.40741356949266,-2.691083508864143,9.487462739838652,32.379887385056406,-12.682255896022046,3.162959318,1.596259843,,,,94.3,2385,6.4,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.12,,,,,,,,75,1,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,153,0.002,0.043,,,,,-0.043,,-4,-4,0.019,0.019,30,27,30,27,1,3,,,,,1.06,0.67,-0.67,,,,,,,9,12
SI,2026-09-12,97.0,-1.56,5.93,"Morillo, Juan",677649,666661,field_out,hit_into_play,,,,,5,"Ezequiel Duran grounds out, shortstop Geraldo Perdomo to first baseman Tim Tawa.",R,R,R,AZ,TEX,X,6,ground_ball,0,0,2026,-1.17,0.95,0.0167234745409121,2.094205455106552,,607043,,2,9,Top,111.41,150.54,,,,,6.85747876092322,-140.99063736871278,-6.673290699584228,-17.12726444623111,31.32336384206068,-18.202029412634467,3.126099081,1.57765748,31,97.4,-2,96.8,2158,6.2,825035,672515,694374,606466,571448,672695,814439,691783,682998,54.32,0.459,0.413,0.0,1,0,0,2,74,1,Sinker,2,6,6,2,6,2,6,2,Standard,Standard,206,0.003,-0.281,71.8,7.3,,0.496,0.281,97.4,-4,4,0.016,0.984,27,27,27,27,1,4,,,,,1.48,1.17,1.17,,5.331169727521544,9.95366102933662,28.31723548070628,35.76989582673613,28.29600805278502,9,12
FF,2026-09-12,93.7,-0.87,6.44,"Law, Derek",607043,571882,double,hit_into_play,,,,,5,Brandon Nimmo hits a ground-rule double (33) on a fly ball down the left-field line.,R,L,R,AZ,TEX,X,,fly_ball,3,2,2026,-0.27,1.29,0.0925586450098081,2.738351204402805,,,,2,9,Top,16.6,102.55,,,,,3.0803646556077835,-136.40307468909316,-6.546076361818399,-4.092082795429708,29.06330225376664,-14.865367969585147,3.270029528,1.650295276,314,92.3,26,94.2,2036,6.5,825035,672515,694374,606466,571448,672695,814439,691783,682998,54.01,0.114,0.152,1.25,1,1,1,3,73,7,4-Seam Fastball,2,6,6,2,6,2,6,2,Strategic,Standard,204,-0.002,0.512,,,,0.238,-0.512,92.3,-4,4,0.018,0.982,35,33,36,33,1,4,,,,,1.3,0.27,-0.27,,,,,,,9,12
FF,2026-09-12,94.0,-0.87,6.45,"Law, Derek",607043,571882,,foul,,,,,2,,R,L,R,AZ,TEX,S,,,3,2,2026,-0.08,1.42,0.0039145199904387,3.1260927028270085,,,,2,9,Top,,,,,,,2.412162275699616,-136.77928979728162,-5.895987655705628,-1.5321789165206618,31.83627759485544,-13.220211375918137,3.270029528,1.650295276,215,77.2,22,94.1,2171,6.5,825035,672515,694374,606466,571448,672695,814439,691783,682998,54.02,,,,,,,,73,6,4-Seam Fastball,2,6,6,2,6,2,6,2,Infield shade,Standard,203,0.0,0.0,65.0,5.9,,,0.0,88.0,-4,4,0.018,0.982,35,33,36,33,1,4,,,,,1.17,0.08,-0.08,,-7.43960918952323,32.19665391691348,23.604330048593216,38.98433428164827,13.657331990767778,9,12
SL,2026-09-12,87.8,-1.08,6.43,"Law, Derek",607043,571882,,swinging_strike,,,,,14,,R,L,R,AZ,TEX,S,,,3,1,2026,0.37,0.37,1.1813356394521528,2.090531616944743,,,,2,9,Top,,,,,,,4.620246971489374,-127.7736631278754,-4.922104650732857,3.165380291709496,26.03391560834533,-27.361259540381425,3.270029528,1.650295276,,,,88.1,2123,6.4,825035,672515,694374,606466,571448,672695,814439,691783,682998,54.07,,,,,,,,73,5,Slider,2,6,6,2,6,2,6,2,Infield shade,Standard,186,0.0,-0.097,71.6,7.2,0.1,,0.097,,-4,4,0.018,0.982,35,33,36,33,1,4,,,,,2.59,-0.37,0.37,,17.357421895549706,-21.262935756779974,37.43060983213102,26.042990193270004,40.43919468812201,9,12
SL,2026-09-12,88.6,-0.89,6.46,"Law, Derek",607043,571882,,ball,,,,,14,,R,L,R,AZ,TEX,B,,,2,1,2026,0.31,0.36,0.0306854090496658,1.0078278329721797,,,,2,9,Top,,,,,,,1.5597135793591768,-128.9047235658005,-7.773806905350057,3.14361362077698,25.63177065254649,-26.849991520913985,3.270029528,1.650295276,,,,88.9,2124,6.4,825035,672515,694374,606466,571448,672695,814439,691783,682998,54.1,,,,,,,,73,4,Slider,2,6,6,2,6,2,6,2,Infield shade,Standard,190,0.0,0.1,,,,,-0.1,,-4,4,0.018,0.982,35,33,36,33,1,4,,,,,2.54,-0.31,0.31,,,,,,,9,12
SL,2026-09-12,87.4,-1.04,6.41,"Law, Derek",607043,571882,,called_strike,,,,,9,,R,L,R,AZ,TEX,S,,,2,0,2026,0.37,0.16,0.5347103622671804,1.67650522915738,,,,2,9,Top,,,,,,,2.9825202767104084,-127.21704573576136,-5.352951931420421,3.399777731320541,25.92648304956399,-29.56218791229756,3.270029528,1.650295276,,,,87.8,2127,6.5,825035,672515,694374,606466,571448,672695,814439,691783,682998,53.97,,,,,,,,73,3,Slider,2,6,6,2,6,2,6,2,Infield shade,Standard,175,0.0,-0.067,,,,,0.067,,-4,4,0.018,0.982,35,33,36,33,1,4,,,,,2.82,-0.37,0.37,,,,,,,9,12
SL,2026-09-12,83.1,-0.93,6.44,"Law, Derek",607043,571882,,ball,,,,,14,,R,L,R,AZ,TEX,B,,,1,0,2026,0.21,-0.05,0.8752567926428517,0.0914646462643422,,,,2,9,Top,,,,,,,3.6655414979525736,-120.8225914709446,-7.700785617614189,1.367162275243603,23.58902006086796,-31.362051524788136,3.270029528,1.650295276,,,,83.5,2139,6.6,825035,672515,694374,606466,571448,672695,814439,691783,682998,53.91,,,,,,,,73,2,Slider,2,6,6,2,6,2,6,2,Infield shade,Standard,83,0.0,0.066,,,,,-0.066,,-4,4,0.018,0.982,35,33,36,33,1,4,,,,,3.36,-0.21,0.21,,,,,,,9,12
