pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,month,day
SL,2024-07-04,89.4,-1.2,5.54,"Doval, Camilo",594807,666808,strikeout,swinging_strike,,,,,14,Adam Duvall strikes out swinging.,R,R,R,ATL,SF,S,2,,1,2,2024,0.77,-0.24,0.18,0.82,,542303,,2,9,Bot,,,,,672275,,,1.7853035197782396,-130.21863152730458,-5.108222063745512,8.304759769545358,28.18734472097181,-33.96878617818107,3.45,1.57,,,,89.3,2529,6.2,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.29,,0.0,0.0,1,0,0,,71,4,Slider,2,4,2,4,4,2,2,4,Infield shade,Standard,68,-0.046,-0.236,71.99315804647566,8.14346,7,4
FC,2024-07-04,100.3,-1.28,5.7,"Doval, Camilo",594807,666808,,ball,,,,,11,Adam Duvall strikes out swinging.,R,R,R,ATL,SF,B,,,0,2,2024,-0.4,0.78,-1.26,3.27,,542303,,2,9,Bot,,,,,672275,,,1.007342270243206,-146.1140009287927,-3.2505894332728493,-5.934720303310741,32.18197845764107,-20.40394160215515,3.35,1.59,,,,100.6,2452,6.3,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.24,,,,,,,,71,3,Cutter,2,4,2,4,4,2,2,4,Strategic,Standard,220,0.0,0.033,,,7,4
SL,2024-07-04,89.7,-1.39,5.4,"Doval, Camilo",594807,666808,,foul,,,,,14,Adam Duvall strikes out swinging.,R,R,R,ATL,SF,S,,,0,1,2024,0.71,0.03,0.72,0.35,,542303,,2,9,Bot,,,,,672275,,,3.719749825999902,-130.5248294440971,-6.564506094986668,7.412245583852013,26.69000925259485,-30.703119212362477,3.45,1.57,,,,89.8,2431,6.3,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.23,,,,,,,,71,2,Slider,2,4,2,4,4,2,2,4,Infield shade,Standard,68,0.0,-0.081,57.82706472088485,8.26104,7,4
SL,2024-07-04,89.6,-1.29,5.45,"Doval, Camilo",594807,666808,,called_strike,,,,,9,Adam Duvall strikes out swinging.,R,R,R,ATL,SF,S,,,0,0,2024,0.47,-0.22,0.64,1.54,,542303,,2,9,Bot,,,,,672275,,,3.7718543061117233,-130.52172422771451,-3.2011480211805745,4.516427611532279,27.8973166461076,-34.18317398773291,3.35,1.54,,,,89.4,2487,6.1,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.38,,,,,,,,71,1,Slider,2,4,2,4,4,2,2,4,Standard,Standard,60,0.0,-0.053,,,7,4
FC,2024-07-04,98.5,-1.34,5.53,"Doval, Camilo",663586,666808,field_out,hit_into_play,,,,,5,"Austin Riley grounds out, third baseman Matt Chapman to first baseman LaMonte Wade Jr.  Marcell Ozuna to 2nd.",R,R,R,ATL,SF,X,5,ground_ball,0,1,2024,-0.62,0.65,-0.04,2.8,,,542303,1,9,Bot,98.0,175.15,,,672275,,,4.946231449589522,-143.46205315303774,-3.5010446496982697,-9.70818073256275,32.83468847832077,-22.55540096179778,3.45,1.58,3,61.3,-44,98.5,2408,6.2,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.29,0.163,0.158,0.0,1,0,0,2,70,2,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,227,-0.057,-0.326,78.62834535593137,7.4573,7,4
FC,2024-07-04,101.1,-1.54,5.58,"Doval, Camilo",663586,666808,,called_strike,,,,,5,"Austin Riley grounds out, third baseman Matt Chapman to first baseman LaMonte Wade Jr.  Marcell Ozuna to 2nd.",R,R,R,ATL,SF,S,,,0,0,2024,-0.51,0.92,-0.26,2.89,,,542303,1,9,Bot,,,,,672275,,,4.7844616026009055,-147.25287095397073,-4.433236019901504,-8.421035345910326,30.965114600335816,-17.90234604035111,3.51,1.68,,,,101.4,2464,6.2,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.34,,,,,,,,70,1,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,224,0.0,-0.04,,,7,4
SL,2024-07-04,89.8,-1.41,5.56,"Doval, Camilo",621566,666808,strikeout,swinging_strike,,,,,13,Matt Olson strikes out swinging.,R,L,R,ATL,SF,S,2,,0,2,2024,0.21,-0.35,-0.79,1.19,,,542303,0,9,Bot,,,,,672275,,,1.0847142334400637,-130.6716086745038,-4.035676098984695,2.115973067212363,29.365930125121707,-35.50737892161451,3.63,1.72,,,,89.1,2415,6.0,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.47,,0.0,0.0,1,0,0,,69,4,Slider,2,4,2,4,4,2,2,4,Standard,Standard,58,-0.074,-0.221,66.650814803719,7.80872,7,4
FC,2024-07-04,100.2,-1.29,5.67,"Doval, Camilo",621566,666808,,foul,,,,,5,Matt Olson strikes out swinging.,R,L,R,ATL,SF,S,,,0,2,2024,-0.48,1.05,0.15,2.87,,,542303,0,9,Bot,,,,,672275,,,5.0808536606708525,-145.91650410879842,-4.898568652268607,-7.969234063315588,32.921615545394395,-16.184897465780324,3.63,1.72,306,91.4,40,100.2,2523,6.1,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.37,,,,,,,,69,3,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,222,0.0,0.0,66.77072588355077,6.57022,7,4
SL,2024-07-04,88.3,-1.36,5.54,"Doval, Camilo",621566,666808,,called_strike,,,,,7,Matt Olson strikes out swinging.,R,L,R,ATL,SF,S,,,0,1,2024,0.61,-0.43,-0.41,1.8,,,542303,0,9,Bot,,,,,672275,,,1.0356279738607028,-128.70304874781866,-2.146338409371019,6.57897796134231,27.18106131125372,-36.68376429620698,3.53,1.81,,,,88.1,2499,6.1,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.4,,,,,,,,69,2,Slider,2,4,2,4,4,2,2,4,Standard,Standard,69,0.0,-0.08,,,7,4
FC,2024-07-04,100.0,-1.54,5.46,"Doval, Camilo",621566,666808,,called_strike,,,,,6,Matt Olson strikes out swinging.,R,L,R,ATL,SF,S,,,0,0,2024,-0.64,0.8,0.73,2.65,,,542303,0,9,Bot,,,,,672275,,,7.74571599051042,-145.5001546060369,-4.288444978227752,-10.77389590617214,31.569366021809515,-19.917133816116383,3.6,1.79,,,,100.3,2457,6.3,747103,666808,672275,664774,689172,656305,605113,624424,671218,682641,54.22,,,,,,,,69,1,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,228,0.0,-0.064,,,7,4
