pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
KC,2022-10-03,85.3,-1.53,6.14,"Barnes, Matt",622534,598264,field_out,hit_into_play,,,,,14,"Manuel Margot grounds out, second baseman Christian Arroyo to first baseman Triston Casas.",R,R,R,BOS,TB,X,4,ground_ball,3,0,2022,0.03,-0.73,0.47,1.18,,623912,,2,9,Top,145.05,159.76,,,624512,,,4.688687861746519,-124.11771611208258,-3.869158844275974,-0.717860929489653,27.98221180187102,-38.96040261916945,3.42,1.59,4,71.9,-19,85.7,2113,6.9,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.63,0.049,0.044,0.0,1,0,0,2,67,4,Knuckle Curve,4,3,3,4,3,4,3,4,Standard,Standard,36,0.112,-0.409,10,3
KC,2022-10-03,84.7,-1.6,6.2,"Barnes, Matt",622534,598264,,blocked_ball,,,,,13,"Manuel Margot grounds out, second baseman Christian Arroyo to first baseman Triston Casas.",R,R,R,BOS,TB,B,,,2,0,2022,0.2,-1.14,-0.13,0.4,,623912,,2,9,Top,,,,,624512,,,3.0401961922335734,-123.14530927991892,-4.800033673059738,1.2915555428116898,28.60119327434705,-42.74546937137928,3.41,1.66,,,,84.5,2115,6.6,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.91,,,,,,,,67,3,Knuckle Curve,4,3,3,4,3,4,3,4,Strategic,Standard,27,0.0,0.029,10,3
FF,2022-10-03,96.1,-1.61,6.06,"Barnes, Matt",622534,598264,,ball,,,,,11,"Manuel Margot grounds out, second baseman Christian Arroyo to first baseman Triston Casas.",R,R,R,BOS,TB,B,,,1,0,2022,-0.63,1.62,-0.72,3.89,,623912,,2,9,Top,,,,,624512,,,3.7987395757250897,-139.8837654682567,-3.8606060892312666,-9.088719835865671,32.87368294756511,-10.301510079000693,3.42,1.72,,,,96.7,2288,6.7,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.78,,,,,,,,67,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,218,0.0,0.028,10,3
FF,2022-10-03,95.0,-1.7,6.1,"Barnes, Matt",622534,598264,,ball,,,,,11,"Manuel Margot grounds out, second baseman Christian Arroyo to first baseman Triston Casas.",R,R,R,BOS,TB,B,,,0,0,2022,-0.66,1.79,-0.48,4.46,,623912,,2,9,Top,,,,,624512,,,4.73906536719773,-138.1978553327587,-2.5857328582371646,-9.596154558431124,35.96764029739183,-9.133275648564908,3.5,1.66,,,,95.3,2292,6.9,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.63,,,,,,,,67,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,218,0.0,0.037,10,3
KC,2022-10-03,82.9,-1.59,6.17,"Barnes, Matt",623912,598264,fielders_choice_out,hit_into_play,,,,,7,"Harold Ramirez reaches on a fielder's choice out, third baseman Rafael Devers to catcher Reese McGuire to shortstop Yu Chang.   Wander Franco out at home.    Harold Ramirez to 2nd.",R,R,R,BOS,TB,X,5,ground_ball,0,1,2022,0.68,-1.21,-0.55,2.0,677551,,,1,9,Top,105.94,178.59,,,624512,,,1.0438627842778063,-120.71634161526248,-0.5962903384873651,6.30003354330757,27.430427601901457,-43.95107366598624,3.22,1.48,9,100.5,-13,82.8,2113,6.6,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.95,0.22,0.198,0.0,1,0,0,2,66,2,Knuckle Curve,4,3,3,4,3,4,3,4,Strategic,Standard,33,0.215,-0.301,10,3
FF,2022-10-03,93.7,-1.63,6.08,"Barnes, Matt",623912,598264,,swinging_strike,,,,,11,"Harold Ramirez reaches on a fielder's choice out, third baseman Rafael Devers to catcher Reese McGuire to shortstop Yu Chang.   Wander Franco out at home.    Harold Ramirez to 2nd.",R,R,R,BOS,TB,S,,,0,0,2022,-0.84,1.66,-0.32,4.32,677551,,,1,9,Top,,,,,624512,,,5.318274570944239,-136.23251684132114,-2.428856927987848,-11.743580582656406,34.403466854093416,-11.365926082291727,3.22,1.48,,,,93.9,2187,6.8,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.72,,,,,,,,66,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Strategic,Standard,219,0.0,-0.068,10,3
FF,2022-10-03,95.5,-1.77,6.03,"Barnes, Matt",677551,598264,triple,hit_into_play,,,,,5,Wander Franco triples (3) on a sharp line drive to right fielder Alex Verdugo.,R,L,R,BOS,TB,X,9,line_drive,3,1,2022,-0.93,1.35,0.03,2.49,,,,1,9,Top,155.28,74.29,,,624512,,,6.91488432561794,-138.67543695020362,-6.722415334068528,-13.650538561208672,34.83415209688794,-13.425806571873665,3.34,1.45,226,105.9,13,95.9,2142,6.9,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.61,0.791,0.807,1.6,1,1,2,5,65,5,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shift,Standard,216,-0.24,0.619,10,3
FF,2022-10-03,96.7,-1.8,6.11,"Barnes, Matt",677551,598264,,ball,,,,,11,Wander Franco triples (3) on a sharp line drive to right fielder Alex Verdugo.,R,L,R,BOS,TB,B,,,2,1,2022,-0.72,1.19,-0.47,3.94,,,,1,9,Top,,,,,624512,,,5.2541892672460575,-140.78562682191745,-2.9532511157142687,-10.793163724088354,32.51232605004998,-15.87975555877142,3.34,1.55,,,,97.7,2235,6.8,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.65,,,,,,,,65,4,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shift,Standard,218,0.0,0.076,10,3
FF,2022-10-03,96.1,-1.8,5.97,"Barnes, Matt",677551,598264,,ball,,,,,14,Wander Franco triples (3) on a sharp line drive to right fielder Alex Verdugo.,R,L,R,BOS,TB,B,,,1,1,2022,-0.85,1.22,0.76,1.07,,,,1,9,Top,,,,,624512,,,8.803813429507564,-139.42480407232108,-10.231034060954263,-13.074283428306892,31.257299286558656,-14.015658157335508,3.34,1.52,,,,96.9,2303,6.9,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.6,,,,,,,,65,3,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shift,Standard,221,0.0,0.033,10,3
KC,2022-10-03,83.8,-1.68,6.25,"Barnes, Matt",677551,598264,,called_strike,,,,,8,Wander Franco triples (3) on a sharp line drive to right fielder Alex Verdugo.,R,L,R,BOS,TB,S,,,1,0,2022,0.06,-0.93,0.05,1.45,,,,1,9,Top,,,,,624512,,,3.910069150143901,-121.9930794434847,-2.862733959315769,-0.169591518566268,23.520706926607485,-41.17905073585079,3.34,1.49,,,,84.7,2060,6.8,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.71,,,,,,,,65,2,Knuckle Curve,4,3,3,4,3,4,3,4,Infield shift,Standard,29,0.0,-0.031,10,3
KC,2022-10-03,84.0,-1.76,6.3,"Barnes, Matt",677551,598264,,ball,,,,,11,Wander Franco triples (3) on a sharp line drive to right fielder Alex Verdugo.,R,L,R,BOS,TB,B,,,0,0,2022,0.38,-1.03,-1.43,2.56,,,,1,9,Top,,,,,624512,,,0.0041938354126977,-122.2490262478793,-0.1620165646031721,3.7790829557438,26.163521325991816,-42.64562951553312,3.34,1.55,,,,84.1,2104,6.5,663453,598264,624512,671213,624414,646240,644374,502054,571771,657077,53.96,,,,,,,,65,1,Knuckle Curve,4,3,3,4,3,4,3,4,Infield shift,Standard,28,0.0,0.022,10,3
