pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
,1993-10-03,,,,"Hoffman, Trevor",123803,116034,strikeout,called_strike,,,,,,Matt Walbeck called out on strikes.,R,L,R,SD,CHC,S,2,,1,2,1993,,,,,,,,0,9,Top,,,,,115909,,,,,,,,,,,,,,,,,207301,116034,115909,122696,114609,112283,122165,120618,111557,119798,,,,0.0,,0,0,,62,6,,1,4,4,1,4,1,4,1,,,,0.003,-0.18,10,3
,1993-10-03,,,,"Hoffman, Trevor",123803,116034,,foul,,,,,,Matt Walbeck called out on strikes.,R,L,R,SD,CHC,S,,,1,2,1993,,,,,,,,0,9,Top,,,,,115909,,,,,,,,,,,,,,,,,207301,116034,115909,122696,114609,112283,122165,120618,111557,119798,,,,,,,,,62,5,,1,4,4,1,4,1,4,1,,,,0.0,0.0,10,3
,1993-10-03,,,,"Hoffman, Trevor",123803,116034,,foul,,,,,,Matt Walbeck called out on strikes.,R,L,R,SD,CHC,S,,,1,2,1993,,,,,,,,0,9,Top,,,,,115909,,,,,,,,,,,,,,,,,207301,116034,115909,122696,114609,112283,122165,120618,111557,119798,,,,,,,,,62,4,,1,4,4,1,4,1,4,1,,,,0.0,0.0,10,3
,1993-10-03,,,,"Hoffman, Trevor",123803,116034,,foul,,,,,,Matt Walbeck called out on strikes.,R,L,R,SD,CHC,S,,,1,1,1993,,,,,,,,0,9,Top,,,,,115909,,,,,,,,,,,,,,,,,207301,116034,115909,122696,114609,112283,122165,120618,111557,119798,,,,,,,,,62,3,,1,4,4,1,4,1,4,1,,,,0.0,-0.058,10,3
,1993-10-03,,,,"Hoffman, Trevor",123803,116034,,ball,,,,,,Matt Walbeck called out on strikes.,R,L,R,SD,CHC,B,,,0,1,1993,,,,,,,,0,9,Top,,,,,115909,,,,,,,,,,,,,,,,,207301,116034,115909,122696,114609,112283,122165,120618,111557,119798,,,,,,,,,62,2,,1,4,4,1,4,1,4,1,,,,0.0,0.029,10,3
,1993-10-03,,,,"Hoffman, Trevor",123803,116034,,swinging_strike,,,,,,Matt Walbeck called out on strikes.,R,L,R,SD,CHC,S,,,0,0,1993,,,,,,,,0,9,Top,,,,,115909,,,,,,,,,,,,,,,,,207301,116034,115909,122696,114609,112283,122165,120618,111557,119798,,,,,,,,,62,1,,1,4,4,1,4,1,4,1,,,,0.0,-0.037,10,3
,1993-10-03,,,,"Boskie, Shawn",111557,111250,field_out,hit_into_play,,,,,,Jarvis Brown lines out to second baseman Eric Yelding.,R,R,R,SD,CHC,X,4,line_drive,0,0,1993,,,,,119798,115909,,2,8,Bot,,,,,123803,,,,,,,,,,,,,,,,,207301,111250,123803,115007,124659,122152,121663,121270,121129,122544,,,,0.0,,0,0,,61,1,,1,4,1,4,4,1,1,4,,,,-0.062,-0.601,10,3
,1993-10-03,,,,"Boskie, Shawn",110818,111250,strikeout,swinging_strike,,,,,,Derek Bell strikes out swinging.,R,R,R,SD,CHC,S,2,,3,2,1993,,,,,119798,115909,,1,8,Bot,,,,,123803,,,,,,,,,,,,,,,,,207301,111250,123803,115007,124659,122152,121663,121270,121129,122544,,,,0.0,,0,0,,60,6,,1,4,1,4,4,1,1,4,,,,-0.088,-0.799,10,3
,1993-10-03,,,,"Boskie, Shawn",110818,111250,,ball,,,,,,Derek Bell strikes out swinging.,R,R,R,SD,CHC,B,,,2,2,1993,,,,,119798,115909,,1,8,Bot,,,,,123803,,,,,,,,,,,,,,,,,207301,111250,123803,115007,124659,122152,121663,121270,121129,122544,,,,,,,,,60,5,,1,4,1,4,4,1,1,4,,,,0.0,0.18,10,3
,1993-10-03,,,,"Boskie, Shawn",110818,111250,,ball,,,,,,Derek Bell strikes out swinging.,R,R,R,SD,CHC,B,,,1,2,1993,,,,,119798,115909,,1,8,Bot,,,,,123803,,,,,,,,,,,,,,,,,207301,111250,123803,115007,124659,122152,121663,121270,121129,122544,,,,,,,,,60,4,,1,4,1,4,4,1,1,4,,,,0.0,0.04,10,3
,1993-10-03,,,,"Boskie, Shawn",110818,111250,,ball,,,,,,Derek Bell strikes out swinging.,R,R,R,SD,CHC,B,,,0,2,1993,,,,,119798,115909,,1,8,Bot,,,,,123803,,,,,,,,,,,,,,,,,207301,111250,123803,115007,124659,122152,121663,121270,121129,122544,,,,,,,,,60,3,,1,4,1,4,4,1,1,4,,,,0.0,0.049,10,3
,1993-10-03,,,,"Boskie, Shawn",110818,111250,,swinging_strike,,,,,,Derek Bell strikes out swinging.,R,R,R,SD,CHC,S,,,0,1,1993,,,,,119798,115909,,1,8,Bot,,,,,123803,,,,,,,,,,,,,,,,,207301,111250,123803,115007,124659,122152,121663,121270,121129,122544,,,,,,,,,60,2,,1,4,1,4,4,1,1,4,,,,0.0,-0.149,10,3
