pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
,1976-10-21,,,,"McEnaney, Will",124186,118665,field_out,hit_into_play,,,,,,Roy White flies out to left fielder George Foster.,W,R,L,NYY,CIN,X,7,fly_ball,2,0,1976,,,,,,,,2,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,0.0,,0,0,,78,3,,2,7,2,7,7,2,2,7,,,,0.0,-0.187,10,21
,1976-10-21,,,,"McEnaney, Will",124186,118665,,ball,,,,,,Roy White flies out to left fielder George Foster.,W,R,L,NYY,CIN,B,,,1,0,1976,,,,,,,,2,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,,,,,,78,2,,2,7,2,7,7,2,2,7,,,,0.0,0.009,10,21
,1976-10-21,,,,"McEnaney, Will",124186,118665,,ball,,,,,,Roy White flies out to left fielder George Foster.,W,R,L,NYY,CIN,B,,,0,0,1976,,,,,,,,2,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,,,,,,78,1,,2,7,2,7,7,2,2,7,,,,0.0,0.097,10,21
,1976-10-21,,,,"McEnaney, Will",121253,118665,field_out,hit_into_play,,,,,,Mickey Rivers lines out to third baseman Pete Rose.,W,L,L,NYY,CIN,X,5,line_drive,0,1,1976,,,,,,,,1,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,0.0,,0,0,,77,2,,2,7,2,7,7,2,2,7,,,,-0.002,-0.008,10,21
,1976-10-21,,,,"McEnaney, Will",121253,118665,,foul,,,,,,Mickey Rivers lines out to third baseman Pete Rose.,W,L,L,NYY,CIN,S,,,0,0,1976,,,,,,,,1,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,,,,,,77,1,,2,7,2,7,7,2,2,7,,,,0.0,-0.14,10,21
,1976-10-21,,,,"McEnaney, Will",123694,118665,strikeout,swinging_strike,,,,,,Otto Velez strikes out swinging.,W,R,L,NYY,CIN,S,2,,1,2,1976,,,,,,,,0,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,0.0,,0,0,,76,4,,2,7,2,7,7,2,2,7,,,,-0.005,-0.179,10,21
,1976-10-21,,,,"McEnaney, Will",123694,118665,,foul,,,,,,Otto Velez strikes out swinging.,W,R,L,NYY,CIN,S,,,1,1,1976,,,,,,,,0,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,,,,,,76,3,,2,7,2,7,7,2,2,7,,,,0.0,-0.053,10,21
,1976-10-21,,,,"McEnaney, Will",123694,118665,,ball,,,,,,Otto Velez strikes out swinging.,W,R,L,NYY,CIN,B,,,0,1,1976,,,,,,,,0,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,,,,,,76,2,,2,7,2,7,7,2,2,7,,,,0.0,0.22,10,21
,1976-10-21,,,,"McEnaney, Will",123694,118665,,foul,,,,,,Otto Velez strikes out swinging.,W,R,L,NYY,CIN,S,,,0,0,1976,,,,,,,,0,9,Bot,,,,,110849,,,,,,,,,,,,,,,,,67709,118665,110849,120404,119371,121454,112549,114333,114723,115136,,,,,,,,,76,1,,2,7,2,7,7,2,2,7,,,,0.0,-0.204,10,21
,1976-10-21,,,,"Lyle, Sparky",115136,118026,field_out,hit_into_play,,,,,,Ken Griffey grounds out to first baseman Chris Chambliss.,W,L,L,NYY,CIN,X,3,ground_ball,0,0,1976,,,,,112549,,,2,9,Top,,,,,119531,,,,,,,,,,,,,,,,,67709,118026,119531,112180,120927,119720,118400,124186,121253,114558,,,,0.0,,0,0,,75,1,,2,7,7,2,7,2,7,2,,,,0.001,-0.349,10,21
