pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
,1986-10-05,,,,"Darling, Ron",113391,113054,,swinging_strike,,,,,,Benny Distefano strikes out swinging.,R,L,R,NYM,PIT,S,,,0,1,1986,,,,,,111188,111199,2,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,,,,,,28,2,,3,0,0,3,0,3,0,3,,,,0.0,-0.012,10,5
,1986-10-05,,,,"Darling, Ron",113391,113054,,swinging_strike,,,,,,Benny Distefano strikes out swinging.,R,L,R,NYM,PIT,S,,,0,0,1986,,,,,,111188,111199,2,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,,,,,,28,1,,3,0,0,3,0,3,0,3,,,,0.0,-0.416,10,5
,1986-10-05,,,,"Darling, Ron",111199,113054,walk,ball,,,,,,Bobby Bonilla walks.,R,L,R,NYM,PIT,B,,,3,0,1986,,,,,,111188,,2,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,0.7,,0,0,,27,4,,3,0,0,3,0,3,0,3,,,,-0.012,0.0,10,5
,1986-10-05,,,,"Darling, Ron",111199,113054,,ball,,,,,,Bobby Bonilla walks.,R,L,R,NYM,PIT,B,,,2,0,1986,,,,,,111188,,2,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,,,,,,27,3,,3,0,0,3,0,3,0,3,,,,0.0,0.0,10,5
,1986-10-05,,,,"Darling, Ron",111199,113054,,ball,,,,,,Bobby Bonilla walks.,R,L,R,NYM,PIT,B,,,1,0,1986,,,,,,111188,,2,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,,,,,,27,2,,3,0,0,3,0,3,0,3,,,,0.0,0.0,10,5
,1986-10-05,,,,"Darling, Ron",111199,113054,,ball,,,,,,Bobby Bonilla walks.,R,L,R,NYM,PIT,B,,,0,0,1986,,,,,,111188,,2,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,,,,,,27,1,,3,0,0,3,0,3,0,3,,,,0.0,0.134,10,5
,1986-10-05,,,,"Darling, Ron",111410,113054,strikeout,swinging_strike,,,,,,Sid Bream strikes out swinging.,R,L,R,NYM,PIT,S,2,,0,2,1986,,,,,,111188,,1,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,0.0,,0,0,,26,3,,3,0,0,3,0,3,0,3,,,,0.032,-0.009,10,5
,1986-10-05,,,,"Darling, Ron",111410,113054,,swinging_strike,,,,,,Sid Bream strikes out swinging.,R,L,R,NYM,PIT,S,,,0,1,1986,,,,,,111188,,1,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,,,,,,26,2,,3,0,0,3,0,3,0,3,,,,0.0,-0.005,10,5
,1986-10-05,,,,"Darling, Ron",111410,113054,,swinging_strike,,,,,,Sid Bream strikes out swinging.,R,L,R,NYM,PIT,S,,,0,0,1986,,,,,,111188,,1,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,,,,,,26,1,,3,0,0,3,0,3,0,3,,,,0.0,-0.332,10,5
,1986-10-05,,,,"Darling, Ron",111188,113054,field_error,hit_into_play,,,,,,Barry Bonds reaches on a fielding error by second baseman Wally Backman.,R,L,R,NYM,PIT,X,4,,0,0,1986,,,,,,,,1,4,Top,,,,,112061,,,,,,,,,,,,,,,,,192413,113054,112061,115826,110419,117191,121691,116593,113686,122864,,,,0.9,,0,0,,25,1,,3,0,0,3,0,3,0,3,,,,-0.024,0.291,10,5
