pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
,1981-04-30,,,,"Flanagan, Mike",118480,114216,field_out,hit_into_play,,,,,,John Mayberry out to right fielder Gary Roenicke.,R,L,L,BAL,TOR,X,9,,0,0,1981,,,,,,,,2,9,Top,,,,,115024,,,,,,,,,,,,,,,,,180721,114216,115024,119579,121627,113183,110806,117960,111687,121372,,,,0.0,,0,0,,66,1,,4,0,0,4,0,4,0,4,,,,0.001,-0.085,4,30
,1981-04-30,,,,"Flanagan, Mike",124558,114216,field_out,hit_into_play,,,,,,Al Woods out to right fielder Gary Roenicke.,R,L,L,BAL,TOR,X,9,,0,0,1981,,,,,,,,1,9,Top,,,,,115024,,,,,,,,,,,,,,,,,180721,114216,115024,119579,121627,113183,110806,117960,111687,121372,,,,0.0,,0,0,,65,1,,4,0,0,4,0,4,0,4,,,,0.004,-0.145,4,30
,1981-04-30,,,,"Flanagan, Mike",116397,114216,field_out,hit_into_play,,,,,,"Garth Iorg out, second baseman Lenn Sakata to first baseman Eddie Murray.",R,R,L,BAL,TOR,X,4,,0,0,1981,,,,,,,,0,9,Top,,,,,115024,,,,,,,,,,,,,,,,,180721,114216,115024,119579,121627,113183,110806,117960,111687,121372,,,,0.0,,0,0,,64,1,,4,0,0,4,0,4,0,4,,,,0.008,-0.213,4,30
,1981-04-30,,,,"Barlow, Mike",113183,110571,field_out,hit_into_play,,,,,,"Douglas DeCinces out, pitcher Mike Barlow to first baseman John Mayberry.",R,R,R,BAL,TOR,X,1,,0,0,1981,,,,,117960,,112886,2,8,Bot,,,,,124216,,,,,,,,,,,,,,,,,180721,110571,124216,118480,116397,110095,115137,124558,119432,111201,,,,0.0,,0,0,,63,1,,4,0,4,0,0,4,4,0,,,,-0.003,-0.467,4,30
,1981-04-30,,,,"Barlow, Mike",115024,110571,field_out,hit_into_play,,,,,,Dan Graham out to left fielder Al Woods.   John Lowenstein to 3rd.,R,L,R,BAL,TOR,X,7,,0,0,1981,,,,,,117960,112886,1,8,Bot,,,,,124216,,,,,,,,,,,,,,,,,180721,110571,124216,118480,116397,110095,115137,124558,119432,111201,,,,0.0,,0,0,,62,1,,4,0,4,0,0,4,4,0,,,,-0.001,-0.417,4,30
,1981-04-30,,,,"Barlow, Mike",112886,110571,walk,ball,,,,,,Terry Crowley walks.,R,L,R,BAL,TOR,B,,,3,0,1981,,,,,,117960,,1,8,Bot,,,,,124216,,,,,,,,,,,,,,,,,180721,110571,124216,118480,116397,110095,115137,124558,119432,111201,,,,0.7,,0,0,,61,4,,4,0,4,0,0,4,4,0,,,,0.0,0.005,4,30
,1981-04-30,,,,"Barlow, Mike",112886,110571,,ball,,,,,,Terry Crowley walks.,R,L,R,BAL,TOR,B,,,2,0,1981,,,,,,117960,,1,8,Bot,,,,,124216,,,,,,,,,,,,,,,,,180721,110571,124216,118480,116397,110095,115137,124558,119432,111201,,,,,,,,,61,3,,4,0,4,0,0,4,4,0,,,,0.0,0.004,4,30
,1981-04-30,,,,"Barlow, Mike",112886,110571,,ball,,,,,,Terry Crowley walks.,R,L,R,BAL,TOR,B,,,1,0,1981,,,,,,117960,,1,8,Bot,,,,,124216,,,,,,,,,,,,,,,,,180721,110571,124216,118480,116397,110095,115137,124558,119432,111201,,,,,,,,,61,2,,4,0,4,0,0,4,4,0,,,,0.0,0.015,4,30
,1981-04-30,,,,"Barlow, Mike",112886,110571,,ball,,,,,,Terry Crowley walks.,R,L,R,BAL,TOR,B,,,0,0,1981,,,,,,117960,,1,8,Bot,,,,,124216,,,,,,,,,,,,,,,,,180721,110571,124216,118480,116397,110095,115137,124558,119432,111201,,,,,,,,,61,1,,4,0,4,0,0,4,4,0,,,,0.0,0.242,4,30
,1981-04-30,,,,"Barlow, Mike",117960,110571,double,hit_into_play,,,,,,John Lowenstein doubles (1) on a to left fielder Al Woods.,R,L,R,BAL,TOR,X,7,,0,0,1981,,,,,,,,1,8,Bot,,,,,124216,,,,,,,,,,,,,,,,,180721,110571,124216,118480,116397,110095,115137,124558,119432,111201,,,,1.25,,1,1,,60,1,,4,0,4,0,0,4,4,0,,,,0.003,0.41,4,30
