IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1008082,1961,Mickey Mantle,NYY,29,153,514,646,163,87,16,6,54,132,128,126,9,112,0,5,1,2,12,1,0.317,,,,,,,,,,,0.195,0.17300000000000001,1.13,0.448,0.687,1.135,0.37,0.309,,,,,,,,,0.478,79.6,156,78.5,1.0,19.5,0.0,101.9,10.3,,6.0,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.3,,29 - 29,80.8,0.6,,,,,,,,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,197,144,132.0,167.0,252.0,111.0,,,,,,,,,,,,,,,,,,0,,,,,,10.3
1002043,1961,Norm Cash,DET,26,159,535,672,193,122,22,8,41,119,132,124,19,85,9,2,2,16,11,5,0.361,,,,,,,,,,,0.185,0.126,1.46,0.487,0.662,1.148,0.301,0.37,,,,,,,,,0.488,88.3,168,79.7,9.0,20.3,-9.5,100.5,10.2,,5.3,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,0.5,,26 - 26,80.2,0.6,,,,,,,,0.37200000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,187,105,144.0,161.0,205.0,133.0,,,,,,,,,,,,,,,,,,0,,,,,,10.2
1000001,1961,Hank Aaron,MIL,27,155,603,671,197,114,39,10,34,115,120,56,20,64,2,9,1,16,21,9,0.327,,,,,,,,,,,0.083,0.095,0.88,0.381,0.594,0.974,0.267,0.317,,,,,,,,,0.41,46.4,126,44.8,24.0,20.3,-4.0,87.9,8.9,,6.7,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.7,,27 - 27,45.5,2.2,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,95,75,113.0,141.0,177.0,110.0,,,,,,,,,,,,,,,,,,0,,,,,,8.9
1008315,1961,Willie Mays,SFG,30,154,572,659,176,101,32,3,40,129,123,81,15,77,2,4,0,14,18,9,0.308,,,,,,,,,,,0.12300000000000001,0.11699999999999999,1.05,0.393,0.584,0.977,0.276,0.296,,,,,,,,,0.417,49.0,127,46.2,14.0,19.9,0.0,82.3,8.3,,5.4,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.1,,30 - 30,46.3,2.1,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,141,92,117.0,139.0,184.0,103.0,,,,,,,,,,,,,,,,,,0,,,,,,8.3
1004612,1961,Jim Gentile,BAL,27,148,486,601,147,74,25,2,46,96,141,96,5,106,11,8,0,12,1,1,0.302,,,,,,,,,,,0.16,0.17600000000000002,0.91,0.423,0.646,1.069,0.344,0.295,,,,,,,,,0.453,62.4,133,61.0,8.0,18.1,-8.4,79.3,8.0,,2.6,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,0.0,,27 - 27,61.0,0.5,,,,,,,,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,162,146,125.0,157.0,234.0,106.0,,,,,,,,,,,,,,,,,,0,,,,,,8.0
1002404,1961,Rocky Colavito,DET,27,163,583,708,169,92,30,2,45,129,140,113,2,75,2,8,2,14,1,2,0.29,,,,,,,,,,,0.16,0.106,1.51,0.402,0.58,0.982,0.29,0.263,,,,,,,,,0.424,56.7,140,47.6,19.0,21.4,-8.8,79.5,8.0,,2.8,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,-0.3,,27 - 27,47.3,0.6,,,,,,,,0.32899999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,162,88,119.0,141.0,197.0,95.0,,,,,,,,,,,,,,,,,,0,,,,,,8.0
1006678,1961,Al Kaline,DET,26,153,586,665,190,123,41,7,19,116,82,66,2,42,4,5,4,16,14,1,0.324,,,,,,,,,,,0.099,0.063,1.57,0.393,0.515,0.909,0.191,0.323,,,,,,,,,0.399,39.9,118,31.4,29.0,20.1,-7.1,76.6,7.7,,6.5,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,2.7,,26 - 26,34.1,0.6,,,,,,,,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,100,52,116.0,126.0,130.0,116.0,,,,,,,,,,,,,,,,,,0,,,,,,7.7
1011066,1961,Frank Robinson,CIN,25,153,545,636,176,100,32,7,37,117,124,71,23,64,10,10,0,15,22,3,0.323,,,,,,,,,,,0.11199999999999999,0.10099999999999999,1.11,0.404,0.611,1.015,0.288,0.306,,,,,,,,,0.425,51.8,127,45.1,8.0,19.2,-7.9,69.9,7.1,,6.8,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3.4,,25 - 25,48.5,2.0,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,128,80,120.0,145.0,191.0,107.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1008110,1961,Roger Maris,NYY,26,161,590,698,159,78,16,4,61,132,142,94,0,67,7,7,0,16,0,0,0.269,,,,,,,,,,,0.135,0.096,1.4,0.372,0.62,0.993,0.351,0.209,,,,,,,,,0.424,55.9,138,54.7,1.0,21.1,-7.9,69.8,7.1,,3.1,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.9,0.3,,26 - 26,55.0,0.6,,,,,,,,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,136,79,110.0,151.0,239.0,75.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1008236,1961,Eddie Mathews,MIL,29,152,572,672,175,114,23,6,32,103,91,93,3,95,2,4,1,10,12,7,0.306,,,,,,,,,,,0.138,0.141,0.98,0.402,0.535,0.937,0.229,0.318,,,,,,,,,0.41,46.4,126,44.7,-1.0,20.3,3.7,69.6,7.1,,4.9,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,-0.2,,29 - 29,44.5,2.2,,,,,,,,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,158,112,120.0,127.0,152.0,111.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1001283,1961,Ken Boyer,STL,30,153,589,663,194,133,26,11,24,109,95,68,9,91,1,5,0,11,6,3,0.329,,,,,,,,,,,0.10300000000000001,0.13699999999999998,0.75,0.397,0.533,0.93,0.204,0.355,,,,,,,,,0.403,42.1,120,31.2,13.0,20.0,3.7,70.3,7.1,,5.6,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,0.2,,30 - 30,31.5,2.1,,,,,,,,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,117,108,118.0,127.0,135.0,124.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1010360,1961,Vada Pinson,CIN,22,154,607,659,208,150,34,8,16,101,87,39,1,63,1,8,4,9,23,10,0.343,,,,,,,,,,,0.059000000000000004,0.096,0.62,0.379,0.504,0.883,0.161,0.358,,,,,,,,,0.387,33.2,111,26.3,18.0,19.9,0.0,67.0,6.8,,6.1,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.7,,22 - 22,27.0,2.1,,,,,,,,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,68,76,112.0,120.0,107.0,125.0,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1006905,1961,Harmon Killebrew,MIN,25,150,541,656,156,83,20,7,46,94,122,107,6,109,3,5,0,11,1,2,0.288,,,,,,,,,,,0.163,0.166,0.98,0.405,0.606,1.012,0.318,0.281,,,,,,,,,0.433,57.2,135,50.0,-1.0,19.8,-6.1,62.9,6.4,,3.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.1,-0.4,,25 - 25,49.7,0.6,,,,,,,,0.39899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,165,138,120.0,148.0,217.0,101.0,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1002103,1961,Orlando Cepeda,SFG,23,152,585,636,182,104,28,4,46,105,142,39,11,91,9,3,0,21,12,8,0.311,,,,,,,,,,,0.061,0.14300000000000002,0.43,0.362,0.609,0.97,0.297,0.302,,,,,,,,,0.413,45.5,121,42.8,0.0,19.2,-8.6,54.7,5.5,,4.8,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.6,-0.7,,23 - 23,42.1,2.0,,,,,,,,0.27699999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,70,113,107.0,145.0,198.0,105.0,,,,,,,,,,,,,,,,,,0,,,,,,5.5
1006079,1961,Elston Howard,NYY,32,129,446,482,155,112,17,5,21,64,77,28,6,65,3,4,1,5,0,3,0.348,,,,,,,,,,,0.057999999999999996,0.135,0.43,0.387,0.549,0.936,0.202,0.368,,,,,,,,,0.405,31.4,88,30.6,3.0,14.6,5.7,53.3,5.4,,3.3,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,-1.0,,32 - 32,29.5,0.4,,,,,,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,59,112,114.0,134.0,137.0,132.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1002340,1961,Roberto Clemente,PIT,26,146,572,614,201,138,30,10,23,100,89,35,10,59,3,3,1,18,4,1,0.351,,,,,,,,,,,0.057,0.096,0.59,0.39,0.559,0.949,0.208,0.361,,,,,,,,,0.409,42.2,115,37.3,1.0,18.5,-7.6,51.8,5.3,,5.4,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6,0.6,,26 - 26,37.9,2.0,,,,,,,,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,65,76,116.0,133.0,138.0,126.0,,,,,,,,,,,,,,,,,,0,,,,,,5.3
1010340,1961,Jim Piersall,CLE,31,121,484,536,156,117,26,7,6,81,40,43,1,46,2,3,4,18,8,2,0.322,,,,,,,,,,,0.08,0.086,0.93,0.378,0.442,0.82,0.12,0.345,,,,,,,,,0.365,17.9,81,15.0,17.0,16.2,0.0,49.6,5.0,,6.0,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,,31 - 31,16.0,0.5,,,,,,,,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,81,71,111.0,108.0,82.0,124.0,,,,,,,,,,,,,,,,,,0,,,,,,5.0
1011165,1961,Johnny Romano,CLE,26,142,509,580,152,101,29,1,21,76,80,61,3,60,5,4,1,10,0,0,0.299,,,,,,,,,,,0.105,0.10300000000000001,1.02,0.377,0.483,0.86,0.185,0.303,,,,,,,,,0.379,25.8,94,22.6,-1.0,17.5,8.5,48.3,4.9,,1.8,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.2,,26 - 26,22.8,0.5,,,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,106,86,111.0,118.0,126.0,109.0,,,,,,,,,,,,,,,,,,0,,,,,,4.9
1011959,1961,Roy Sievers,CHW,34,141,492,563,145,86,26,6,27,76,92,61,4,62,6,4,0,11,1,0,0.295,,,,,,,,,,,0.10800000000000001,0.11,0.98,0.377,0.537,0.913,0.242,0.29,,,,,,,,,0.396,32.7,99,29.5,3.0,17.0,-7.5,42.9,4.3,,3.7,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,0.4,,34 - 34,29.9,0.5,,,,,,,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,110,91,111.0,131.0,165.0,104.0,,,,,,,,,,,,,,,,,,0,,,,,,4.3
1007296,1961,Jim Landis,CHW,27,140,534,618,151,103,18,8,22,87,85,65,0,71,4,5,10,10,19,5,0.283,,,,,,,,,,,0.105,0.115,0.92,0.362,0.47,0.832,0.187,0.289,,,,,,,,,0.368,21.9,95,18.4,2.0,18.7,0.0,41.5,4.2,,6.4,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,27 - 27,20.3,0.5,,,,,,,,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,106,95,107.0,114.0,128.0,104.0,,,,,,,,,,,,,,,,,,0,,,,,,4.2
