IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1000826,1972,Johnny Bench,CIN,24,147,538,652,145,81,22,2,40,87,125,100,23,84,2,12,0,18,6,6,0.27,,,,,,,,,,,0.153,0.129,1.19,0.379,0.541,0.92,0.271,0.246,,,,,,,,,0.402,45.4,109,40.2,13.0,17.3,7.0,80.3,9.2,,2.8,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,-0.8,,24 - 24,39.4,3.6,,,,,,,,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,174,96,117,143.0,222.0,88.0,,,,,,,,,,,,,,,,,,0,,,,,,9.2
1009179,1972,Joe Morgan,CIN,28,149,552,680,161,118,23,4,16,122,73,115,1,44,6,4,3,5,58,17,0.292,,,,,,,,,,,0.16899999999999998,0.065,2.61,0.417,0.435,0.851,0.143,0.292,,,,,,,,,0.392,42.8,109,37.3,7.0,18.1,3.7,75.7,8.7,,6.9,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,5.8,,28 - 28,43.2,3.7,,,,,,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,192,48,128,115.0,117.0,104.0,,,,,,,,,,,,,,,,,,0,,,,,,8.7
1000137,1972,Dick Allen,CHW,30,148,506,609,156,86,28,5,37,90,113,99,16,126,1,3,0,13,19,8,0.308,,,,,,,,,,,0.163,0.207,0.79,0.42,0.603,1.023,0.294,0.344,,,,,,,,,0.45,63.4,123,60.3,-2.0,16.2,-8.2,67.5,8.0,,5.2,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.2,1.1,,30 - 30,61.4,0.2,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,188,156,133,169.0,269.0,127.0,,,,,,,,,,,,,,,,,,0,,,,,,8.0
1002100,1972,Cesar Cedeno,HOU,21,139,559,625,179,110,39,8,22,103,82,56,5,62,5,4,1,11,55,21,0.32,,,,,,,,,,,0.09,0.099,0.9,0.385,0.537,0.921,0.216,0.328,,,,,,,,,0.413,48.3,109,42.9,2.0,16.6,-1.7,67.0,7.8,,7.7,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.8,,21 - 21,46.7,3.4,,,,,,,,0.22399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,102,74,118,142.0,177.0,117.0,,,,,,,,,,,,,,,,,,0,,,,,,7.8
1009338,1972,Bobby Murcer,NYY,26,153,585,654,171,101,30,7,33,102,96,63,7,67,2,4,0,6,11,9,0.292,,,,,,,,,,,0.096,0.102,0.94,0.361,0.537,0.898,0.244,0.282,,,,,,,,,0.402,45.4,109,46.8,2.0,17.4,-1.8,63.7,7.4,,5.1,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.8,,26 - 26,46.0,0.2,,,,,,,,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,111,77,114,151.0,224.0,105.0,,,,,,,,,,,,,,,,,,0,,,,,,7.4
1004101,1972,Carlton Fisk,BOS,24,131,457,514,134,75,28,9,22,74,61,52,6,83,4,0,1,11,5,2,0.293,,,,,,,,,,,0.10099999999999999,0.161,0.63,0.37,0.538,0.909,0.245,0.318,,,,,,,,,0.407,37.6,88,33.3,1.0,13.7,7.8,56.3,6.6,,5.6,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,0.4,,24 - 24,33.7,0.1,,,,,,,,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,117,122,118,151.0,224.0,118.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1013975,1972,Billy Williams,CHC,34,150,574,650,191,114,34,6,37,95,122,62,20,59,6,8,0,14,3,1,0.333,,,,,,,,,,,0.095,0.091,1.05,0.398,0.606,1.005,0.274,0.317,,,,,,,,,0.441,63.1,127,49.8,-10.0,17.3,-7.2,53.8,6.5,,3.8,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.2,0.4,,34 - 34,50.1,3.6,,,,,,,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,108,67,123,160.0,224.0,113.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1011217,1972,Pete Rose,CIN,31,154,645,729,198,150,31,11,6,107,57,73,4,46,7,2,2,7,10,3,0.307,,,,,,,,,,,0.1,0.063,1.59,0.382,0.417,0.799,0.11,0.323,,,,,,,,,0.365,31.7,103,25.9,12.0,19.4,-7.7,54.6,6.2,,5.8,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,1.1,,31 - 31,27.0,4.0,,,,,,,,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,113,47,118,110.0,90.0,115.0,,,,,,,,,,,,,,,,,,0,,,,,,6.2
1012316,1972,Chris Speier,SFG,22,150,562,658,151,109,25,2,15,74,71,82,2,92,3,7,4,8,9,4,0.269,,,,,,,,,,,0.125,0.14,0.89,0.361,0.4,0.761,0.132,0.294,,,,,,,,,0.35,21.6,86,13.0,9.0,17.5,9.1,52.7,6.0,,3.7,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,0.5,,22 - 22,13.5,3.6,,,,,,,,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,141,104,111,106.0,108.0,105.0,,,,,,,,,,,,,,,,,,0,,,,,,6.0
1005571,1972,Richie Hebner,PIT,24,124,427,492,128,81,24,4,19,63,72,52,7,54,6,7,0,8,0,0,0.3,,,,,,,,,,,0.106,0.11,0.96,0.378,0.508,0.886,0.208,0.302,,,,,,,,,0.395,32.0,80,27.6,2.0,13.1,2.9,48.3,5.6,,2.7,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,0.1,,24 - 24,27.7,2.7,,,,,,,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,120,82,116,134.0,170.0,108.0,,,,,,,,,,,,,,,,,,0,,,,,,5.6
1003088,1972,Willie Davis,LAD,32,149,615,654,178,130,22,7,19,81,79,27,4,61,1,7,4,9,20,3,0.289,,,,,,,,,,,0.040999999999999995,0.09300000000000001,0.44,0.317,0.441,0.758,0.151,0.293,,,,,,,,,0.341,17.2,81,13.4,13.0,17.4,-1.8,48.6,5.5,,6.4,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,3.1,,32 - 32,16.4,3.6,,,,,,,,0.16399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,47,69,98,116.0,124.0,105.0,,,,,,,,,,,,,,,,,,0,,,,,,5.5
1005033,1972,Bobby Grich,BAL,23,133,460,528,128,92,21,3,12,66,50,53,3,96,7,5,3,8,13,6,0.278,,,,,,,,,,,0.1,0.182,0.55,0.358,0.415,0.773,0.137,0.325,,,,,,,,,0.353,18.5,70,18.5,10.0,14.0,4.5,47.8,5.4,,5.0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,0.6,,23 - 23,19.1,0.1,,,,,,,,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,116,137,114,117.0,125.0,120.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1011447,1972,Ron Santo,CHC,32,133,464,547,140,93,25,5,17,68,74,69,5,75,4,8,2,13,1,4,0.302,,,,,,,,,,,0.126,0.13699999999999998,0.92,0.391,0.487,0.878,0.185,0.324,,,,,,,,,0.394,35.2,89,23.9,2.0,14.5,3.1,45.5,5.3,,3.4,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,-1.1,,32 - 32,22.8,3.0,,,,,,,,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,143,102,120,129.0,151.0,116.0,,,,,,,,,,,,,,,,,,0,,,,,,5.3
